timestamp,x_px,y_px,z_mm,point_id,sequence_id
1748586594.6541636,483,162,425.0,P1,1
1748586594.670628,478,183,435.0,P1,1
1748586594.7057066,472,205,446.0,P1,1
1748586594.7480118,466,220,452.0,P1,1
1748586594.781526,461,235,462.0,P1,1
1748586594.8024435,457,249,469.0,P1,1
1748586594.836309,451,262,475.0,P1,1
1748586594.866359,445,275,482.0,P1,1
1748586594.9154487,439,286,488.0,P1,1
1748586594.9475744,434,295,494.0,P1,1
1748586594.9791148,430,302,499.0,P1,1
1748586595.0103197,428,308,503.0,P1,1
1748586595.0440557,425,311,506.0,P1,1
1748586595.0736933,424,313,507.0,P1,1
1748586595.1057863,421,316,512.0,P1,1
1748586595.1385214,419,318,518.0,P1,1
1748586595.1714108,418,318,519.0,P1,1
1748586595.2140613,418,319,519.0,P1,1
1748586595.237973,417,320,523.0,P1,1
1748586595.2720675,415,320,526.0,P1,1
1748586595.3046463,415,322,528.0,P1,1
1748586595.3382144,414,323,532.0,P1,1
1748586595.3715048,413,324,537.0,P1,1
1748586595.4134877,412,326,538.0,P1,1
1748586595.4382932,411,327,537.0,P1,1
1748586595.4723833,410,328,537.0,P1,1
1748586595.5054843,410,329,537.0,P1,1
1748586595.53883,410,329,537.0,P1,1
1748586595.5722651,410,330,537.0,P1,1
1748586595.605564,410,330,536.0,P1,1
1748586595.6559827,410,331,537.0,P1,1
1748586595.6875348,411,331,538.0,P1,1
1748586595.7059531,410,332,539.0,P1,1
1748586595.7388513,410,332,538.0,P1,1
1748586595.7724395,410,332,539.0,P1,1
1748586595.806209,411,332,539.0,P1,1
1748586595.8393922,411,331,538.0,P1,1
1748586595.872294,411,331,538.0,P1,1
1748586595.9058676,411,332,539.0,P1,1
1748586595.9489193,411,331,540.0,P1,1
1748586595.982968,410,331,538.0,P1,1
1748586596.003218,411,331,539.0,P1,1
1748586596.0455997,409,331,539.0,P1,1
1748586596.0665197,411,331,539.0,P1,1
1748586596.0984094,409,330,540.0,P1,1
1748586596.1474574,411,331,539.0,P1,1
1748586596.1804907,410,330,538.0,P1,1
1748586596.2262897,411,331,540.0,P1,1
1748586596.240195,410,331,540.0,P1,1
1748586596.287659,411,331,539.0,P1,1
1748586596.3036332,410,331,540.0,P1,1
1748586596.3508992,410,330,539.0,P1,1
1748586596.366626,410,331,538.0,P1,1
1748586596.4003465,410,331,539.0,P1,1
1748586596.4479425,410,331,539.0,P1,1
1748586596.4818935,410,331,540.0,P1,1
1748586596.5116446,410,331,540.0,P1,1
1748586596.5513766,409,330,540.0,P1,1
1748586596.5753462,410,331,540.0,P1,1
1748586596.607074,408,330,537.0,P1,1
1748586596.6502767,408,329,538.0,P1,1
1748586596.6737354,411,324,533.0,P1,1
1748586596.70556,413,319,531.0,P1,1
1748586596.7371166,416,313,528.0,P1,1
1748586596.8377874,425,287,573.0,P1,1
1748586596.8722258,428,276,582.0,P1,1
1748586596.9146628,431,264,595.0,P1,1
1748586596.9464052,436,249,612.0,P1,1
1748586596.978322,441,231,623.0,P1,1
1748586597.009839,445,212,648.0,P1,1
1748586597.041405,450,191,675.0,P1,1
1748586597.0728242,454,168,701.0,P1,1
1748586597.1048563,455,149,795.0,P1,1
1748586597.1365795,456,125,768.0,P1,1
1748586597.1723735,455,99,722.0,P1,1
1748586597.2072387,459,70,712.0,P1,1
1748586599.4802291,516,103,398.0,P1,2
1748586599.5119996,508,123,405.0,P1,2
1748586599.5440118,506,142,415.0,P1,2
1748586599.5757878,494,147,420.0,P1,2
1748586599.6091802,497,174,429.0,P1,2
1748586599.641328,492,188,437.0,P1,2
1748586599.67323,488,199,445.0,P1,2
1748586599.7210824,482,212,451.0,P1,2
1748586599.7426949,476,221,456.0,P1,2
1748586599.7748637,473,230,460.0,P1,2
1748586599.8063273,469,239,464.0,P1,2
1748586599.8471813,465,246,471.0,P1,2
1748586599.87295,461,255,476.0,P1,2
1748586599.918282,457,261,479.0,P1,2
1748586599.9375386,453,266,485.0,P1,2
1748586599.9848957,448,273,490.0,P1,2
1748586600.0088246,443,279,494.0,P1,2
1748586600.0483012,438,285,500.0,P1,2
1748586600.0800908,434,290,503.0,P1,2
1748586600.111711,430,296,507.0,P1,2
1748586600.1430082,427,301,511.0,P1,2
1748586600.1781979,424,304,516.0,P1,2
1748586600.2101636,421,309,519.0,P1,2
1748586600.2458274,419,312,521.0,P1,2
1748586600.277762,418,315,523.0,P1,2
1748586600.3087223,416,318,526.0,P1,2
1748586600.348767,415,321,529.0,P1,2
1748586600.3845031,414,324,532.0,P1,2
1748586600.409102,413,325,536.0,P1,2
1748586600.442092,411,327,541.0,P1,2
1748586600.467593,411,329,539.0,P1,2
1748586600.5165565,411,330,540.0,P1,2
1748586600.5473938,411,329,539.0,P1,2
1748586600.5789745,411,330,540.0,P1,2
1748586600.6108165,410,330,541.0,P1,2
1748586600.6424687,411,330,541.0,P1,2
1748586600.673991,411,330,539.0,P1,2
1748586600.7074573,411,329,539.0,P1,2
1748586600.7530577,411,330,540.0,P1,2
1748586600.7745125,411,329,539.0,P1,2
1748586600.8162544,411,330,539.0,P1,2
1748586600.8482933,411,329,540.0,P1,2
1748586600.8851998,411,329,541.0,P1,2
1748586600.9126482,411,329,539.0,P1,2
1748586600.9459655,411,329,542.0,P1,2
1748586600.9777,412,329,540.0,P1,2
1748586601.009384,411,329,540.0,P1,2
1748586601.0543096,411,329,539.0,P1,2
1748586601.0891287,411,329,541.0,P1,2
1748586601.104771,411,329,539.0,P1,2
1748586601.1366053,412,329,538.0,P1,2
1748586601.1864822,413,327,535.0,P1,2
1748586601.2162,415,326,532.0,P1,2
1748586601.2506251,416,322,527.0,P1,2
1748586601.282423,417,316,523.0,P1,2
1748586601.3139834,419,309,514.0,P1,2
1748586601.3456984,420,301,512.0,P1,2
1748586601.3771236,422,292,495.0,P1,2
1748586601.4178283,422,281,485.0,P1,2
1748586601.5118127,424,238,620.0,P1,2
1748586601.5435212,425,220,636.0,P1,2
1748586601.575147,429,199,657.0,P1,2
1748586601.6228485,431,171,678.0,P1,2
1748586601.6865413,439,124,762.0,P1,2
1748586601.7022665,442,92,714.0,P1,2
1748586603.668281,494,89,390.0,P1,3
1748586603.6811616,498,120,764.0,P1,3
1748586603.71592,486,142,407.0,P1,3
1748586603.7514825,467,146,414.0,P1,3
1748586603.7792761,481,191,430.0,P1,3
1748586603.8129747,477,208,442.0,P1,3
1748586603.845681,472,222,449.0,P1,3
1748586603.8814657,469,234,458.0,P1,3
1748586603.9069076,463,246,466.0,P1,3
1748586603.9497225,460,258,473.0,P1,3
1748586603.972155,453,270,482.0,P1,3
1748586604.017253,449,281,490.0,P1,3
1748586604.0508802,445,291,498.0,P1,3
1748586604.0825925,440,300,504.0,P1,3
1748586604.1157112,436,307,509.0,P1,3
1748586604.1472745,432,312,513.0,P1,3
1748586604.179327,429,317,518.0,P1,3
1748586604.2107942,425,319,520.0,P1,3
1748586604.251098,423,322,522.0,P1,3
1748586604.2754464,421,324,525.0,P1,3
1748586604.3228705,419,326,527.0,P1,3
1748586604.3545828,417,328,532.0,P1,3
1748586604.3863127,416,329,535.0,P1,3
1748586604.4183555,414,330,535.0,P1,3
1748586604.449881,413,332,533.0,P1,3
1748586604.4811707,412,333,535.0,P1,3
1748586604.512959,411,334,537.0,P1,3
1748586604.5449264,411,334,536.0,P1,3
1748586604.5766294,410,334,538.0,P1,3
1748586604.6132047,410,334,539.0,P1,3
1748586604.6582038,410,334,539.0,P1,3
1748586604.67819,410,333,539.0,P1,3
1748586604.710032,410,333,540.0,P1,3
1748586604.7536266,410,332,539.0,P1,3
1748586604.783079,410,332,540.0,P1,3
1748586604.8168519,410,332,540.0,P1,3
1748586604.8522024,410,332,539.0,P1,3
1748586604.8858638,410,332,541.0,P1,3
1748586604.916792,410,332,540.0,P1,3
1748586604.9576092,410,331,539.0,P1,3
1748586604.9798095,410,331,539.0,P1,3
1748586605.0118241,409,332,540.0,P1,3
1748586605.04402,409,332,539.0,P1,3
1748586605.0780637,409,331,539.0,P1,3
1748586605.1211927,409,332,539.0,P1,3
1748586605.1505613,408,331,538.0,P1,3
1748586605.1888676,409,330,535.0,P1,3
1748586605.2226217,411,328,535.0,P1,3
1748586605.2522035,413,324,532.0,P1,3
1748586605.2855616,412,317,529.0,P1,3
1748586605.3194842,411,309,529.0,P1,3
1748586605.3508964,411,299,537.0,P1,3
1748586605.3829138,412,288,571.0,P1,3
1748586605.4141176,415,274,581.0,P1,3
1748586605.445983,418,259,597.0,P1,3
1748586605.4845479,421,242,615.0,P1,3
1748586605.5095308,426,225,627.0,P1,3
1748586605.5566676,430,206,647.0,P1,3
1748586605.5757353,434,186,679.0,P1,3
1748586605.62414,439,164,705.0,P1,3
1748586605.652108,443,141,804.0,P1,3
1748586605.68781,449,116,752.0,P1,3
1748586605.7157211,450,82,715.0,P1,3
1748586607.6826944,509,128,408.0,P1,4
1748586607.7142692,504,148,419.0,P1,4
1748586607.7455497,498,167,425.0,P1,4
1748586607.7789438,491,184,435.0,P1,4
1748586607.824545,484,203,447.0,P1,4
1748586607.853411,479,216,457.0,P1,4
1748586607.8908854,472,231,465.0,P1,4
1748586607.9102516,465,243,475.0,P1,4
1748586607.9592738,458,256,483.0,P1,4
1748586607.9868922,452,268,491.0,P1,4
1748586608.0102773,446,277,499.0,P1,4
1748586608.0559237,440,286,504.0,P1,4
1748586608.0857966,435,294,510.0,P1,4
1748586608.1173334,429,300,515.0,P1,4
1748586608.1534028,425,306,518.0,P1,4
1748586608.180938,423,311,523.0,P1,4
1748586608.2130864,420,316,528.0,P1,4
1748586608.253852,417,321,533.0,P1,4
1748586608.2796633,415,325,538.0,P1,4
1748586608.3237529,413,328,538.0,P1,4
1748586608.3422253,411,330,537.0,P1,4
1748586608.3786724,410,331,538.0,P1,4
1748586608.4224255,410,331,537.0,P1,4
1748586608.4540825,410,331,539.0,P1,4
1748586608.4904644,411,331,540.0,P1,4
1748586608.5193737,410,330,541.0,P1,4
1748586608.550866,410,330,539.0,P1,4
1748586608.5824485,410,330,540.0,P1,4
1748586608.6180637,410,330,542.0,P1,4
1748586608.6521995,410,329,540.0,P1,4
1748586608.6846628,410,330,542.0,P1,4
1748586608.7124333,410,330,539.0,P1,4
1748586608.7601588,410,330,542.0,P1,4
1748586608.7918017,409,330,541.0,P1,4
1748586608.8188443,410,330,541.0,P1,4
1748586608.844014,409,329,541.0,P1,4
1748586608.8879657,410,330,540.0,P1,4
1748586608.922772,409,328,537.0,P1,4
1748586608.9443028,409,327,536.0,P1,4
1748586608.9880245,411,325,537.0,P1,4
1748586609.0075147,411,319,534.0,P1,4
1748586609.0549276,410,311,530.0,P1,4
1748586609.0910666,412,303,530.0,P1,4
1748586609.1186242,415,293,523.0,P1,4
1748586609.150375,417,283,508.0,P1,4
1748586609.1820512,420,272,501.0,P1,4
1748586609.2141254,422,260,496.0,P1,4
1748586609.3467963,432,210,645.0,P1,4
1748586609.388525,434,197,655.0,P1,4
1748586609.4098296,438,181,671.0,P1,4
1748586609.441584,442,163,701.0,P1,4
1748586609.4887552,446,144,814.0,P1,4
1748586609.5202339,451,120,770.0,P1,4
1748586609.5517683,455,99,732.0,P1,4
1748586609.5833693,460,71,719.0,P1,4
1748586611.624251,525,90,745.0,P1,5
1748586611.6899981,486,138,418.0,P1,5
1748586611.721521,502,170,427.0,P1,5
1748586611.753163,494,189,687.0,P1,5
1748586611.7847629,486,207,449.0,P1,5
1748586611.8224607,478,222,460.0,P1,5
1748586611.8483615,470,237,469.0,P1,5
1748586611.8803077,464,249,481.0,P1,5
1748586611.927684,457,260,488.0,P1,5
1748586611.9472628,452,270,498.0,P1,5
1748586611.9796553,446,280,505.0,P1,5
1748586612.0295525,441,289,509.0,P1,5
1748586612.0466044,437,296,516.0,P1,5
1748586612.090757,434,303,519.0,P1,5
1748586612.1222305,430,309,523.0,P1,5
1748586612.153697,427,313,530.0,P1,5
1748586612.1856792,425,317,532.0,P1,5
1748586612.217257,422,320,535.0,P1,5
1748586612.248944,420,322,537.0,P1,5
1748586612.2890172,417,325,541.0,P1,5
1748586612.3156917,414,327,544.0,P1,5
1748586612.349017,413,328,543.0,P1,5
1748586612.3907936,413,328,541.0,P1,5
1748586612.4101477,413,328,543.0,P1,5
1748586612.4595149,413,328,542.0,P1,5
1748586612.492779,413,329,540.0,P1,5
1748586612.5084183,413,331,537.0,P1,5
1748586612.556133,413,334,537.0,P1,5
1748586612.5897074,413,335,536.0,P1,5
1748586612.6191645,413,334,538.0,P1,5
1748586612.6568234,412,334,538.0,P1,5
1748586612.6826952,412,333,537.0,P1,5
1748586612.7168748,412,333,538.0,P1,5
1748586612.7487147,413,333,539.0,P1,5
1748586612.7801769,413,332,539.0,P1,5
1748586612.8228848,413,332,540.0,P1,5
1748586612.8469195,413,332,540.0,P1,5
1748586612.891433,413,331,541.0,P1,5
1748586612.9233997,413,331,539.0,P1,5
1748586612.9566817,413,331,541.0,P1,5
1748586612.9754622,413,331,542.0,P1,5
1748586613.0228772,413,331,541.0,P1,5
1748586613.054718,412,331,541.0,P1,5
1748586613.0864732,412,331,542.0,P1,5
1748586613.118319,413,330,544.0,P1,5
1748586613.1502254,413,331,542.0,P1,5
1748586613.1910996,413,331,541.0,P1,5
1748586613.2243905,413,332,540.0,P1,5
