timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004634.7952132,571,102,703.0,P1,1
1751004634.8117294,548,137,728.0,P1,1
1751004634.8450556,519,160,752.0,P1,1
1751004634.878541,520,201,408.0,P1,1
1751004634.911765,515,230,420.0,P1,1
1751004634.9459589,505,250,431.0,P1,1
1751004634.9782865,495,268,439.0,P1,1
1751004635.0117307,486,283,448.0,P1,1
1751004635.0491571,480,294,457.0,P1,1
1751004635.0881567,473,304,462.0,P1,1
1751004635.124135,467,313,470.0,P1,1
1751004635.154677,461,319,477.0,P1,1
1751004635.1796048,455,324,481.0,P1,1
1751004635.221299,451,327,484.0,P1,1
1751004635.257842,449,330,487.0,P1,1
1751004635.2877321,447,333,492.0,P1,1
1751004635.3121605,444,335,497.0,P1,1
1751004635.3471968,443,339,501.0,P1,1
1751004635.3910468,441,341,504.0,P1,1
1751004635.424154,438,344,510.0,P1,1
1751004635.4590027,436,347,514.0,P1,1
1751004635.4786124,434,350,517.0,P1,1
1751004635.5136132,434,353,524.0,P1,1
1751004635.5586767,433,357,527.0,P1,1
1751004635.5887468,431,362,527.0,P1,1
1751004635.6222734,428,365,529.0,P1,1
1751004635.65421,427,365,529.0,P1,1
1751004635.6858954,427,365,529.0,P1,1
1751004635.7175038,427,365,529.0,P1,1
1751004635.7491097,427,365,529.0,P1,1
1751004635.7893093,427,366,529.0,P1,1
1751004635.8120134,427,366,529.0,P1,1
1751004635.848071,426,366,530.0,P1,1
1751004635.881164,426,365,530.0,P1,1
1751004635.923438,427,365,531.0,P1,1
1751004635.9584413,426,364,529.0,P1,1
1751004635.9886038,427,364,527.0,P1,1
1751004636.0204623,430,358,526.0,P1,1
1751004636.0519283,434,350,518.0,P1,1
1751004636.0864463,439,338,517.0,P1,1
1751004636.1182387,444,324,561.0,P1,1
1751004636.149766,447,305,582.0,P1,1
1751004636.1823936,450,284,599.0,P1,1
1751004636.2142687,453,261,622.0,P1,1
1751004636.249795,459,235,656.0,P1,1
1751004636.2814307,468,209,684.0,P1,1
1751004636.3239648,472,173,795.0,P1,1
1751004636.3572376,481,137,740.0,P1,1
1751004636.3886654,490,98,712.0,P1,1
1751004636.4202168,498,53,688.0,P1,1
1751004637.5314527,581,114,715.0,P1,2
1751004637.557939,546,169,1016.0,P1,2
1751004637.5811973,532,228,680.0,P1,2
1751004637.622498,511,271,628.0,P1,2
1751004637.6484196,493,299,599.0,P1,2
1751004637.6904294,477,319,581.0,P1,2
1751004637.7260404,461,335,488.0,P1,2
1751004637.7478871,451,346,506.0,P1,2
1751004637.7861712,443,353,512.0,P1,2
1751004637.8148797,437,358,517.0,P1,2
1751004637.8640926,431,362,526.0,P1,2
1751004637.8821893,428,363,529.0,P1,2
1751004637.9147964,425,365,529.0,P1,2
1751004637.9483798,425,365,529.0,P1,2
1751004637.9921794,424,365,531.0,P1,2
1751004638.026835,425,365,531.0,P1,2
1751004638.057225,425,364,530.0,P1,2
1751004638.0819602,425,365,530.0,P1,2
1751004638.1185796,425,364,530.0,P1,2
1751004638.1494281,425,364,530.0,P1,2
1751004638.1838322,425,364,528.0,P1,2
1751004638.2244496,426,362,527.0,P1,2
1751004638.2496383,428,357,526.0,P1,2
1751004638.2814846,430,345,523.0,P1,2
1751004638.3224037,433,329,531.0,P1,2
1751004638.3471804,437,308,575.0,P1,2
1751004638.3930945,443,282,600.0,P1,2
1751004638.4249005,449,252,628.0,P1,2
1751004638.4583986,456,216,672.0,P1,2
1751004638.488737,466,174,800.0,P1,2
1751004638.523057,480,126,740.0,P1,2
1751004638.555122,486,72,712.0,P1,2
1751004639.536453,538,162,759.0,P1,3
1751004639.5530224,487,198,709.0,P1,3
1751004639.6358814,457,325,573.0,P1,3
1751004639.6527948,440,350,513.0,P1,3
1751004639.692046,429,363,521.0,P1,3
1751004639.7168508,424,371,526.0,P1,3
1751004639.7507105,424,373,526.0,P1,3
1751004639.799579,423,374,526.0,P1,3
1751004639.8185842,423,373,526.0,P1,3
1751004639.8501801,423,371,528.0,P1,3
1751004639.8934197,424,370,529.0,P1,3
1751004639.9169223,426,368,531.0,P1,3
1751004639.950352,427,365,531.0,P1,3
1751004639.9836726,427,364,532.0,P1,3
1751004640.0277767,427,364,533.0,P1,3
1751004640.050439,427,364,532.0,P1,3
1751004640.084742,427,363,534.0,P1,3
1751004640.1174781,427,363,534.0,P1,3
1751004640.1600354,427,363,533.0,P1,3
1751004640.1962957,427,363,534.0,P1,3
1751004640.218133,426,363,533.0,P1,3
1751004640.2523901,426,363,533.0,P1,3
1751004640.293467,426,363,534.0,P1,3
1751004640.3153505,426,362,533.0,P1,3
1751004640.3470366,429,359,527.0,P1,3
1751004640.3842957,433,351,519.0,P1,3
1751004640.4264243,439,336,533.0,P1,3
1751004640.4581454,446,315,575.0,P1,3
1751004640.4895759,455,289,600.0,P1,3
1751004640.5211062,464,257,632.0,P1,3
1751004640.5544236,476,219,682.0,P1,3
1751004640.5860777,488,174,797.0,P1,3
1751004640.6180463,500,119,738.0,P1,3
1751004641.5693026,580,38,677.0,P1,4
1751004641.5854537,561,99,706.0,P1,4
1751004641.6187658,547,159,766.0,P1,4
1751004641.654898,527,205,715.0,P1,4
1751004641.689162,506,250,649.0,P1,4
1751004641.7192478,485,285,608.0,P1,4
1751004641.752936,466,314,497.0,P1,4
1751004641.7857285,453,332,511.0,P1,4
1751004641.8191836,446,344,518.0,P1,4
1751004641.8523707,440,353,522.0,P1,4
1751004641.8947732,435,358,527.0,P1,4
1751004641.9192517,432,362,528.0,P1,4
1751004641.95314,428,365,531.0,P1,4
1751004641.9864416,427,365,531.0,P1,4
1751004642.030344,426,365,531.0,P1,4
1751004642.0603437,426,365,531.0,P1,4
1751004642.0998683,426,365,531.0,P1,4
1751004642.1288693,426,365,531.0,P1,4
1751004642.162877,426,365,530.0,P1,4
1751004642.1940992,426,365,531.0,P1,4
1751004642.2330992,426,365,532.0,P1,4
1751004642.2620993,426,365,531.0,P1,4
1751004642.2873564,427,365,531.0,P1,4
1751004642.3214912,426,365,533.0,P1,4
1751004642.3624787,427,365,527.0,P1,4
1751004642.3860557,430,362,526.0,P1,4
1751004642.4184072,432,356,524.0,P1,4
1751004642.4639962,436,348,521.0,P1,4
1751004642.4858959,440,337,537.0,P1,4
1751004642.5278103,444,320,562.0,P1,4
1751004642.5609093,449,302,578.0,P1,4
1751004642.5930421,456,278,604.0,P1,4
1751004642.6244698,465,248,636.0,P1,4
1751004642.6559649,473,215,682.0,P1,4
1751004642.6876667,483,175,798.0,P1,4
1751004642.723256,496,126,745.0,P1,4
1751004643.773695,558,142,747.0,P1,5
1751004643.78833,499,167,434.0,P1,5
1751004643.8216856,508,229,679.0,P1,5
