timestamp,x_px,y_px,z_mm,point_id,sequence_id
1751004634.7952132,571,102,703,P1,1
1751004634.8117294,548,137,728,P1,1
1751004634.8450556,519,160,752,P1,1
1751004634.878541,520,201,408,P1,1
1751004634.911765,515,230,420,P1,1
1751004634.9459589,505,250,431,P1,1
1751004634.9782865,495,268,439,P1,1
1751004635.0117307,486,283,448,P1,1
1751004635.0491571,480,294,457,P1,1
1751004635.0881567,473,304,462,P1,1
1751004635.124135,467,313,470,P1,1
1751004635.154677,461,319,477,P1,1
1751004635.1796048,455,324,481,P1,1
1751004635.221299,451,327,484,P1,1
1751004635.257842,449,330,487,P1,1
1751004635.2877321,447,333,492,P1,1
1751004635.3121605,444,335,497,P1,1
1751004635.3471968,443,339,501,P1,1
1751004635.3910468,441,341,504,P1,1
1751004635.424154,438,344,510,P1,1
1751004635.4590027,436,347,514,P1,1
1751004635.4786124,434,350,517,P1,1
1751004635.5136132,434,353,524,P1,1
1751004635.5586767,433,357,527,P1,1
1751004635.5887468,431,362,527,P1,1
1751004635.6222734,428,365,529,P1,1
1751004636,427,365,529,P1,1
1751004635.6858954,427,365,529,P1,1
1751004635.7175038,427,365,529,P1,1
1751004635.7491097,427,365,529,P1,1
1751004635.7893093,427,366,529,P1,1
1751004635.8120134,427,366,529,P1,1
1751004635.848071,426,366,530,P1,1
1751004635.881164,426,365,530,P1,1
1751004635.923438,427,365,531,P1,1
1751004635.9584413,426,364,529,P1,1
1751004635.9886038,427,364,527,P1,1
1751004636.0204623,430,358,526,P1,1
1751004636.0519283,434,350,518,P1,1
1751004636.0864463,439,338,517,P1,1
1751004636.1182387,444,324,561,P1,1
1751004636.149766,447,305,582,P1,1
1751004636.1823936,450,284,599,P1,1
1751004636.2142687,453,261,622,P1,1
1751004636.249795,459,235,656,P1,1
1751004636.2814307,468,209,684,P1,1
1751004636.3239648,472,173,795,P1,1
1751004636.3572376,481,137,740,P1,1
1751004636.3886654,490,98,712,P1,1
1751004636.4202168,498,53,688,P1,1
1751004637.5314527,581,114,715,P1,2
1751004637.557939,546,169,1016,P1,2
1751004637.5811973,532,228,680,P1,2
1751004637.622498,511,271,628,P1,2
1751004637.6484196,493,299,599,P1,2
1751004637.6904294,477,319,581,P1,2
1751004637.7260404,461,335,488,P1,2
1751004637.7478871,451,346,506,P1,2
1751004637.7861712,443,353,512,P1,2
1751004637.8148797,437,358,517,P1,2
1751004637.8640926,431,362,526,P1,2
1751004637.8821893,428,363,529,P1,2
1751004637.9147964,425,365,529,P1,2
1751004637.9483798,425,365,529,P1,2
1751004637.9921794,424,365,531,P1,2
1751004638.026835,425,365,531,P1,2
1751004638.057225,425,364,530,P1,2
1751004638.0819602,425,365,530,P1,2
1751004638.1185796,425,364,530,P1,2
1751004638.1494281,425,364,530,P1,2
1751004638.1838322,425,364,528,P1,2
1751004638.2244496,426,362,527,P1,2
1751004638.2496383,428,357,526,P1,2
1751004638.2814846,430,345,523,P1,2
1751004638.3224037,433,329,531,P1,2
1751004638.3471804,437,308,575,P1,2
1751004638.3930945,443,282,600,P1,2
1751004638.4249005,449,252,628,P1,2
1751004638.4583986,456,216,672,P1,2
1751004638.488737,466,174,800,P1,2
1751004638.523057,480,126,740,P1,2
1751004638.555122,486,72,712,P1,2
1751004639.536453,538,162,759,P1,3
1751004639.5530224,487,198,709,P1,3
1751004639.6358814,457,325,573,P1,3
1751004639.6527948,440,350,513,P1,3
1751004639.692046,429,363,521,P1,3
1751004639.7168508,424,371,526,P1,3
1751004639.7507105,424,373,526,P1,3
1751004639.799579,423,374,526,P1,3
